,location,name,price,space,latitude,longitude
193,"Lublin, Śródmieście, Armi Wojska Polskiego","Mieszkanie, 56 m², Lublin",1800.0,56,-1.0,-1.0
194,"Lublin, Śródmieście, Probostwo","Mieszkanie, 49 m², Lublin",1800.0,49,51.2526508,22.5680019
195,"Lublin, Wieniawa, Szarych Szeregów","Mieszkanie, 51 m², Lublin",1800.0,51,51.2514908,22.5311022
196,"Lublin, Centrum, Fryderyka Chopina","Mieszkanie, 65 m², Lublin",1800.0,65,52.0308325,23.1134420359092
197,"Lublin, LSM, Grażyny","Mieszkanie, 56 m², Lublin",1800.0,56,51.2440985,22.524289
198,"Lublin, Śródmieście, Orla","Mieszkanie, 74 m², Lublin",1800.0,74,51.2446238,22.5556897
199,"Lublin, Śródmieście, Fryderyka Chopina","Mieszkanie, 55 m², Lublin",1800.0,55,51.2476408,22.5546405
200,"Lublin, Ponikwoda, Porzeczkowa","Mieszkanie, 64 m², Lublin",1800.0,64,51.2677603,22.5794292
201,"Lublin, Śródmieście, Głęboka","2 pokoje, 56 mkw, u;. Głęboka, piętro 1/4",1800.0,56,51.2392336,22.5516753
202,"Lublin, Bronowice, Krańcowa","Mieszkanie, 34 m², Lublin",1800.0,34,51.2313076,22.5910202
203,"Lublin, Centrum, Prusa",Super mieszkanie Centrum Prusa Um 2p. for rent Mul,1800.0,50,-1.0,-1.0
204,Lublin,"Mieszkanie, 67 m², Lublin",1800.0,67,51.250559,22.5701022
205,"Lublin, Sławin, Czarnieckiego","Mieszkanie, 68 m², Lublin",1800.0,68,-1.0,-1.0
206,"Lublin, Czuby, Dziewanny","Mieszkanie, 60 m², Lublin",1800.0,60,51.235358,22.5145586
207,"Lublin, Górki","Mieszkanie, 68,60 m², Lublin",1800.0,68.6,51.0743097,22.3725539
208,"Lublin, Sławin",65m2 - 3 pokoje - parter - Sławin - super lokaliza,1800.0,65,51.2716239,22.5098266
209,"Lublin, Czuby, Dziewanny","Mieszkanie, 59,60 m², Lublin",1800.0,59.6,51.235358,22.5145586
210,"Lublin,  Leszka",Atrakcyjne mieszkanie 4pokojowe,1800.0,85,51.2496532,22.48824
211,"Lublin, Centrum",Super nowe 2 pok do wynajęcia w centrum Chopina,1850.0,45,52.0339822,23.1192263
212,"Lublin, Czechów, Józefa Mackiewicza","2 pokoje na Czechowie, wysoki standard, okazja",1850.0,40,51.2696677,22.5636821
213,"Lublin, Śródmieście, Konopnicka",2 pokoje w centrum miasta dla wymagających!,1850.0,55,51.2438985,22.5552668
214,"Lublin, Czechów, Józefa Mackiewicza","2 pokoje na Czechowie, 40m2, Mul, wysoki standard!",1850.0,40,51.2696677,22.5636821
215,"Lublin, Śródmieście,  Zamkowy","Plac zamkowy, 2 pokoje, wolne od zaraz!",1850.0,51,-1.0,-1.0
216,"Lublin, Rudnik, Laurowa",2 pokoje Rudnik,1300.0,48,51.2764783,22.5814438
217,"Lublin, Wieniawa,  Legionowa","Nowe, umeblowane, bez opłat dodatkowych",1650.0,40,51.2506286,22.5318759
218,"Lublin, Rogatka Warszawska,  Baśniowa","Wynajmę mieszkanie 2 pokojowe po remoncie, Rogatka",1700.0,49,-1.0,-1.0
219,"Lublin, Bazylianówka, Dożynkowa","Wynajmę 3 pokoje, 64 m2, ul. Dożynkowa, Lublin.",1900.0,64,51.2767054,22.5839832
220,"Lublin, Czechów Górny","Mieszkanie, 50 m², Lublin",1900.0,50,51.2636111,22.5394445
221,"Lublin, Centrum",Atrakcyjne Mieszkanie W Centrum,1900.0,72,52.0339822,23.1192263
222,"Lublin, LSM","Mieszkanie, 48 m², Lublin",1900.0,48,51.2416257,22.5293341
223,"Lublin, Wieniawa",!Apartamentowiec Centrum Miasteczka Akademickiego!,1900.0,53.5,51.2499359,22.5371973
